46	dtcp	float	0.1	-	Maximum desired fractional change in abundances per step.	
47	yfloorx	float	0.001	-	Minimum elemental mass fraction that effects the timestep.	
48	cenu	float	1.	-	Velocity centring parameter (Range: 0.5 - 1.).	
49	t7peek	float	1.e+50	cm**5/g**2	Opacity will be no larger than xkmin (p 50) + t7peek (p 49) * \(\rho\) * \(T_7^4\).	
50	xkmin	float	1.e-10	cm**2/g	Least upper opacity bound.	
51	thickfac	float	0.001	-	Determine whether zones are considered in thermal equilibrium depending on time step and optical thickness.	
52	maxbak	integer	5	-	Maximum number of times a given step is redone before the code quits.	
53	dtcut	float	0.1	-	Fractional timestep reduction when a step is redone.	
54	tfcrbu	float	2.	-	If the maximum fractional change in radius during a timestep exceeds tfcrbu (p 54) * dtcr (p 6) then redo step.	
55	tfctbu	float	2.	-	If the maximum fractional change in temperature during a timestep exceeds tfctbu (p 55) * dtct (p 7) then redo step.	
56	xipot	float	13.6053	eV	Ionization potential.	
57	dzero	float	0.1	g/cm**3	Characteristic density for pressure ionization (.	
58	npflag	integer	1	-	Pairs are included in EOS calculation only if npflag (p 58) \(&gt;\) 0.	
59	fracneut	float	0.05	-	If the semi convective test parameter, \(W\), is \(&lt;\) 0. but greater than - fracneut (p 59) * abs(log(T1/T0)), then the zonal interface is flagged convectively neutral (&#8220;NEUT&#8221; or &#8221;,&#8221;).	
60	radius0	float	0.	cm	Radius of inner boundary.	
61	summ0	float	0.	g	Mass inside inner boundary.	
62	xlum0	float	0.	erg/s	Luminosity emerging from inner surface.	
63	irnet	integer	0	-	Network switch parameter.	
64	npixedit	integer	50	-	Graphics edits to the monitor are made every npixedit (p 64) KEPLER cycles (if itvstart (p 127) \(&gt;\) 0).	
65	tnucmin	float	0.	K	Don't calculate nuclear burning in APPROX if the temperature is less than tnucmin (p 65).	
66	nsetparm	integer	170001	-	Initialize new parameters in subroutine restart and re-arrange/add/remove/initialize internal arrays and edit quantities if nsetparm (p 66) \(\le\) current version.	
67	iytsflag	integer	1	-	Consider only changes in ye, yq, yf, ysi, and y56 in ISE zones when computing the timestep if iytsflag (p 67) \(\ge\) 1.	
68	tbound	float	0.	K	Temperature at outer boundary.	
69	pbound	float	0.	erg/cm**3	Pressure at outer boundary.	
70	fclmax	float	1.	-	Maximum allowed relative convergence error in luminosity.	
71	fclext	float	1.e-5	-	Factor used to reduce noise in luminosity extrapolation.	
72	dtcl	float	1.e+99	-	Maximum desired fractional change in luminosity per step.	
73	fclbu	float	1.	-	Reduce timestep by dtcut (p 53) and redo step if convergence error in luminosity is still greater than fclbu (p 73) after maxit (p 5) iterations.	
74	tfclbu	float	1.e+99	-	If the maximum fractional change in luminosity during a timestep exceeds tfclbu (p 74) * dtcl (p 72) then redo step.	
75	dtsmult	float	1.e+99	-	The fractional amount of semi convective mixing that can occur in one timestep is limited to approximately dtsmult (p 75).	
76	rnratmax	float	0.25	-	Maximum fractional radius change allowed betWeen zones before adzoning.	
77	rnrtmin	float	0.1	-	Minimum fractional radius change allowed between zones before dezoning.	
78	tnrtmax	float	0.25	-	Maximum fractional temperature change allowed between zones before adzoning.	
79	tnrtmin	float	0.1	-	Minimum fractional temperature change allowed between zones before dezoning.	
80	dnrtmax	float	0.25	-	Maximum fractional density change allowed between zones before adzoning.	
81	dnrtmin	float	0.1	-	Minimum fractional density change allowed between zones before dezoning.	
82	rnmin	float	1.e+99	cm	Minimum radius for which adzoning is considered.	
83	tnmin	float	1.	K	Minimum temperature for which adzoning is considered.	
84	dnmin	float	1.e-99	g/cm**3	Minimum density for which adzoning is considered.	
85	jmmin	integer	10	-	Minimum number of zones allowed after dezoning.	
86	izonef	integer	1	-	General rezoning flag.	
87	idzonef	integer	1	-	Dezoning Flags.	
88	rnmax	float	1.e+99	cm	Maximum radius for which rezoning is considered.	
89	dypmin	float	1.e-10	mol/g	Minimum amount of potential hydrogen burn in the present timestep needed to trigger the use of any reaction network.	
90	dymgmin	float	1.e-10	mol/g	Minimum amount of Mg24 production required in the last timestep to trigger the use of the full reaction network.	
91	zbound	float	0.1	-	Mass fraction of heavy elements above which IBEN1 opacities are used.	
92	etaconv	float	1.e-5	-	Relative convergence required in calculating the electron Fermi degeneracy parameter, \(eta\).	
93	jshell0	integer	1	-	Innermost zone in which there is neutrino deposition.	
94	jshell1	integer	1000	-	Outermost zone in which there is neutrino deposition.	
95	eexplode	float	0.	erg	Total neutrino deposition energy.	
96	texplode	float	1.e+99	s	Time of neutrino deposition.	
97	tauexp	float	0.01	s	Time scale for neutrino deposition.	
98	p0core	float	0.	-	Artificial neutrino core pressure parameter.	
99	d0core	float	3.e+11	g/cm**3	Core density cutoff.	
100	d0power	float	1.	-	Core pressure density dependence exponent.	
101	sneutmt	float	1.	-	Neutrino energy loss rate multiplier (APPROX only).	
102	snucmt	float	1.	-	Non-neutrino nuclear energy generation rate multiplier (APPROX only).	
103	dsnum	float	1.e-6	-	Fractional density and temperature perturbations used to get nuclear energy generation rate derivatives.	
104	tcorefac	float	1.	-	Increase the rezoner&#8217;s sensitivity to temperature gradients by a factor of tcorefac (p 104) in the region where fracm, the cumulative mass fraction measured from the center of the star, is less than or equal fracrz1 (p 138).	
105	tqsemin	float	2.e+9	K	Floor on the temperature used in the ISE calculation.	
106	jqse	integer	0	-	Change all APPROX network zones with j \(&lt;\) jqse (p 106) to the ISE network.	
107	artv1	float	1.	-	Multiply q1fac (p 13) by artv1 (p 107) in zone j if jartv1 (p 110) \(\le\) j \(\le\)  artv2 (p 108).	
108	artv2	float	1.	-	Multiply q1fac (p 13) by artv2 (p 108) in zone j if jartv2 (p 111) \(\le\) j \(&lt;\) jm - jartv3 (p 112).	
109	artv3	float	1.	-	Multiply q1fac (p 13) by artv3 (p 109) in zone j if j \(\ge\) max(jartv1 (p 110), jartv2 (p 111), jm - jartv3 (p 112)).	
110	jartv1	float	1000.	-	See artv1 (p 107) - artv3 (p 109).	
111	jartv2	integer	1000	-	See artv1 (p 107) - artv3 (p 109).	
112	jartv3	integer	1000	-	See artv1 (p 107) - artv3 (p 109).	
113	ipixtype	integer	31	-	Graphics picture-type control parameter:.	
114	nplotsym	integer	8	-	Label each curve with nplotsym (p 114) character symbols.	
115	tscalem	float	1.e+7	K	Characteristic temperature for choosing the location of the temperature plotting grid in Thermodynamics (TD) graph.	
116	igridt	integer	370	-	Grid choice for the radial coordinate (irtype (p 132) \(=\) 1).	
117	igridm	integer	498	-	Obsolete.	
118	igridv	integer	496	-	Obsolete.	
119	jp0	integer	1	-	Innermost zone to plot.	
120	jp1	integer	0	-	Outermost zone to plot is jm (outermost zone) - jp1 (p 120).	
121	rpmino	float	1.e+7	cm	Minimum radius plotted when jp0 (p 119) \(&lt;\) 0.	
122	rpmaxo	float	1.e+14	cm	Maximum radius plotted when jp1 (p 120) \(&lt;\) 0.	
123	ymintd	float	1.	g/cm**3	Lower bound of thermodynamics graph ordinate shall be no greater than ymintd (p 123).	
124	ymaxtd	float	1.e+8	g/cm**3	Upper bound of thermodynamics graph ordinate shall be no less than ymaxtd (p 124).	
125	sscalem	float	0.001	-	Energy generation rate graph scale multiplier in the TD graph.	
126	pscalem	float	0.1	-	Pressure graph scale multiplier in the TD graph.	
127	itvstart	integer	0	-	Graphics device control parameter.	
128	abunlim	float	0.001	-	Least elemental mass fraction plotted or listed in a terminal ion edit (XXX).	
129	ivplot	integer	1	-	Obsolete.	
130	vscalem	float	1.e-5	-	Velocity graph scale multiplier in the TD graph.	
131	rscalem	float	1.e-5	-	Radius graph scale multiplier in the TD graph.	
132	irtype	integer	3	-	\(x\)-axix type for plots.	
133	convord	float	3.	g/cm**3	Ordinate value at which to plot convection sentinels in the TD graph.	
134	yplotmin	float	0.	-	Minimum fractional mass coordinate (\(q\)) plotted (fraction of total mass).	
135	yplotmax	float	1.	-	Maximum fractional mass coordinate (\(q\))plotted (fraction of total mass).	
136	etacut	float	10.	-	Electron degeneracy parameter, \(\eta\), above which to use temperature interpolation in subroutine adzone.	
137	nadapb	integer	0	-	Enable Adaptive BURN network adjustment.	
138	fracrz1	float	1.	-	Multiplier in the effective values of the density, temperature, and radius gradients used to determine the necessity for adzoning or dezoning.	
139	fracrz2	float	1.	-	See fracrz1 (p 138) and fmax0 (p 150).	
140	rzmult0	float	1.	-	See fracrz1 (p 138).	
141	rzmult1	float	1.	-	See fracrz1 (p 138).	
142	rzmult2	float	1.	-	See fracrz1 (p 138).	
143	abarrat0	float	2.	-	Limiting ratio for \(\bar{A}\) for rezoning.	
144	abarratm	float	1.3	-	See abarrat0 (p 143).	
145	fracmlim	float	0.01	-	See abarrat0 (p 143).	
146	frcsound	float	0.1	-	Don't do convection if the absolute value of the zone velocity exceeds frcsound (p 146) times the local sound speed.	
147	convlim	float	1.	-	Limit the convective velocity to a fraction convlim (p 147) of the local sound speed.	
148	woversht	float	0.01	-	The semiconvective test parameter, \(W\), is taken to be \(W\) \(=\) woversht (p 148) * abs ( log (T1/T0)) for the special overshoot semiconvective zones where \(W\) would otherwise be \(&lt;\) 0 and when \(\bar{A}\) \(\ge\) abarsemi (p 324).	
149	xmimult	float	1.	-	The mass used in calculating ion degeneracy is xmimult (p 149) times the mass of a neutron.	
150	fmax0	float	1.	-	Adzone mass fraction parameter.	
151	fmax1	float	1.	-	See fmax0 (p 150).	
152	fmax2	float	1.	-	See fmax0 (p 150).	
153	ddsfrac	float	0.01	-	Maximum fractional change in density since the last iteration for which \(\bar{A}\) changes and energy generation rates can be extrapolated from their previous values (APPROX only).	
154	dtsfrac	float	0.001	-	Maximum fractional change in temperature since the last iteration for which ABAR changes and energy generation rates can be extrapolated from their previous values (APPROX only).	
155	iudflag	integer	0	-	Extrapolate energy generation rates and \(\bar{A}\) changes in cases of small temperature and density change only if iudflag (p 155) is also \(\le\) 0.	
156	nsdump	integer	10	-	Save every NSDUMP restart dumps.	
157	niterbar	integer	1	-	Total number of cycles used to compute iterbar, the average number of iterations per cycle.  (Internally set.).	
158	iterbarm	integer	100	-	Maximum allowed value of niterbar without terminating the problem.	
159	iautoout	integer	0	-	Autumated ASCII and graphical output.	
160	iflgabar	integer	0	-	The mean atomic weight, \(\bar{A}\), calculated in subroutine sdot is implicitly coupled to the ion equation of state only if iflgabar (p 160) \(\ne\) 0 and the normal APPROX network (IN = 1) is being used.	
161	fraccore	float	1.1	-	The effective number of zones used in regess (jmcalc (p 162)) shall be the minimum needed to contain the inner fraccore (p 161) mass-fraction of the initial mass of the star.	
162	jmcalc	integer	jm	-	Effective number of zones used in subroutine regess.	
163	iupdflag	integer	1	-	Don&#8217;t calculate derivatives in subroutine sdot when called from subroutine update if iupdflag (p 163) \(\ge\) 0.	
164	niondump	integer	40	-	Number of dump cycles between forced dumps of all dump-grid points of all &#8216;ions&#8217; specified as dump variables.	
165	nisodump	integer	400	-	Number of dump cycles between forced dumps of all dump-grid points of all BURN &#8216;isotopes&#8217; specified as dump variables.	
166	nzondump	integer	40	-	Number of dump cycles between forced dumps of all dump-grid points of all arrays specified as dump variables except &#8216;ions&#8217; and &#8216;isotopes&#8217;.	
167	iflagye	integer	1	-	The electron EOS is implicitly coupled to nuclear burning-induced changes in the electron abundance, \(Y_\mathrm{e}\), provided iflagye (p 167) \(\ne\) 0 and the ISE or NSE network is being used.	
168	njeditq	integer	5	-	Make a ISE edit every njeditq (p 168) zones.	
169	dtqnum	float	0.0001	-	Relative temperature change used in calculating numerical derivatives in sdotq.	
170	ddqnum	float	0.0001	-	Relative density change used in calculating numerical derivatives in sdotq.	
171	iexciteh	integer	1	-	Include excited states in ISE calculations only if iexciteh (p 171) \(&gt;\) 0.	
172	iterqmh	integer	1000	-	Maximum number of iterations allowed in ISE calculation.	
173	ypconvh	float	1.e-8	-	Allowed relative convergence error in the proton abundance in the ISE calculation.	
174	ynconvh	float	1.e-8	-	Allowed relative convergence error in the neutron abundance in the ISE calculation.	
175	ysiconvh	float	1.e-8	-	Allowed relative convergence error in the Si28 abundance in the ISE calculation.	
176	cnseh	float	1.	-	Increment the proton, neutron, and \(^{28}\mathrm{Si}\) abundances by a fraction cnseh (p 176) of that calculated by the Newton-Raphson method for an ISE iteration.	
177	fyph	float	0.05	-	Maximum allowed relative change in proton abundance during an ISE iteration.	
178	fynh	float	0.05	-	Maximum allo~ed relative change in neutron abundance during an ISE iteration.	
179	fysih	float	0.15	-	Maximum allowed relative change in Si28 abundance during an ISE iteration.	
180	neditq	integer	20	-	Make a detailed edit of the ISE zones every neditq (p 180) general numerical edits.	
181	xiter1qe	float	0.5	-	If the relative change of the proton, neutron, or \(^{28}\mathrm{Si}\) abundance is opposite in sign and more than xiter1qe (p 181) in magnitude with respect to the corresponding change during the previous ISE iteration cycle, then cut the current step size in half if more than iter1qe (p 182) iterations have been done.	
182	iter1qe	integer	10	-	See xiter1qe (p 181).	
183	xthres	float	0.0001	-	Edit only those ISE isotopes with mass fractions exceeding xthres (p 183).	
184	tqselim	float	1.5e+9	K	A sufficient condition to change a zone from the APPROX to ISE network is if its temperature exceeds tqselim (p 184), its o16 mass fraction is less than o16lim (p 185), its iron peak mass fraction exceeds qn56lim (p 186), and its density exceeds dqselim (p 203).	
185	o16lim	float	0.04	-	See tqselim (p 184).	
186	qn56lim	float	0.	-	See tqselim (p 184).	
187	snuwmult	float	1.	-	Multiplier on neutrino energy losses from weak processes on nuclei and nucleons.	
188	jnse	integer	0	-	Change all ISE zones with j \(&lt;\) jnse (p 188) to the NSE network.	
189	siqselim	float	0.001	-	A sufficient condition to change a zone from the ISE to the NSE network is for the sum of the silicon and sulphur &#8220;group&#8221; elemental mass fractions to be less than or equal to siqselim (p 189).	
190	jlcalc	integer	0	-	Remove the inner jlcalc (p 190) zones from the problem and reset the inner boundary conditions on radius, radius0 (p 60), and mass, summ0 (p 61), but don&#8217;t change the central luminosity, xlum0 (p 62).	
191	vlimset	float	-1.	-	The ordinate bounds of the velocity graph are \(\pm\) vlimset (p 191) if vlimset (p 191) \(&gt;\) 0.  Otherwise the ordinate bounds are rescaled automatically.  :unit: cm/s.	
192	jpause	integer	-1	-	Pause the code at the end of the calculation for zone j = jpause (p 192) in REGESS (&#8220;pause 1&#8221;) and in update (&#8220;PAUSE 2&#8221;).  Do not pause if jpause (p 192) &lt; 0. Type a carriage return to continue.	
193	fracrz0	float	-1.	-	See fracrz1 (p 138) and fmax0 (p 150).	
194	rzmultm	float	1.	-	See fracrz1 (p 138).	
195	fmaxm	float	1.	-	See fmax0 (p 150).	
196	eionmult	float	1.	-	Multiplier on the contribution of ionization potential energy to the equation of state.  See subroutine ES.	
197	nnewoutf	integer	2000	-	Start a new labelled ASCII output file every nnewoutf (p 197) cycles.	
198	neditq1	integer	5	-	Make an ISE edit for the central zone every neditq1 (p 198) * nedit (p 16) cycles.	
199	wilsonmt	float	-1.	-	Multiplier on the Wilson-based nuclear EOS (except for thee thermal ion component) if it is \(\ge\) 0.  Otherwise, the old non-relativistic, partial degeneracy model for the ion EOS is used.	
200	t11cut	float	1.	1.e+11 K	Upper bound on the temperature used to calculate the energy in nuclear excited states and nuclear partition functions.	
201	y56gessm	float	0.0001	mol/g	Initial guess made in sdot for the y56 abundance when initializing a new ISE zone.	
202	isi30brn	integer	1	-	Neutron-rich-silicon-burning flows are included in the ISE network if isi30brn (p 202) \(\ge\) 1.	
203	dqselim	float	100000.	g/cm**3	Nominal minimum density for changing a zone from the APPROX to the ISE network.	
204	abunminx	float	-1.e-5	-	Force a backup after a call to subroutine BURN from subroutine sdot if a calculated elemental mass fraction change would cause the resulting mass fraction to be less than abunminx (p 204) or to change by a fractional amount greater than tfcybu (p 205).	
205	tfcybu	float	0.5	-	Maximim allowed fractional change in abundance before an abundance backup is made. (See abunminx (p 204)).	
206	yfloorbx	float	0.001	-	Elemental mass fraction floor for making abundance backups. (See abunminx (p 204)).	
207	iqerrflg	integer	1	-	Fatal errors in qburn encountered during a normal regess iteration will cause KEPLER to back-up if iqerrflg (p 207) \(\ge\) 1, or to terminate if iqerrflg (p 207) \(&lt;\) 1.	
208	c12agmlt	float	1.	-	Multiplier on the overall C12(a,g) rate (APPROX only).	
209	xltaucon	float	0.	-	Limit how fast convective velocity can increase.	
210	noqsecon	integer	0	-	Don't force zones that are convectively coupled to ISE zones to go to ISE if noqsecon (p 210) \(&gt;\) 0.	
211	accrate	float	0.	Msun/yr	Rate at which mass in the form of new zones is added to the surface of the star.	
212	xmacrete	float	0.	g	Mass of phantom outer zone used to mediate mass accretion.  See accrate (p 211).	
213	denconv	float	1.e-7	-	Allowed fractional convergence error in density when calculating a hydrostatic initial stellar configuration in the generator using the dstat option.	
214	flamerad	float	0.	cm	Characteristic flame radius for carbon deflagration studies.	
215	coulmult	float	1.	-	Multiplier on the Wigner-Seitz Coulomb corrections to the ion energy and pressure (See [Cla], p. 152, and subroutine es).	
216	irzopt	integer	0	-	Rezoning Option Flag.	
217	nsurfz	integer	-10	-	If nsurfz (p 217) \(&gt;\) 0 and izonef (p 86) \(&gt;\) 0, maintain a logarithmic ramp in zonal mass of the NSURFZ zones at the surface of the star, where fracsz0 (p 218) is twice the desired mass-fraction of the surface zone and fracsz1 (p 219) is twice the desired mass-fraction of the nsurfz (p 217)th zone from the surface.	
218	fracsz0	float	1.	-	Inner surface zoning parameter.	
219	fracsz1	float	1.	-	Outer surface zoning parameter.	
220	xmlossm	float	0.	-	Multiplier on the de Jager mass-loss rate.	
221	xmloss0	float	0.	Msun/yr	Nominal mass loss rate from the surface of the star.	
222	totm0	float	0.	g	The original total mass of the star.	
223	fracdez	float	0.5	-	Dezone the mass-losing zone if its mass drops below fracdez (p 223) times the average mass of the zones on either side of it.	
224	xmratbak	float	0.2	-	Redo the timestep (&#8220;backup&#8221;) if the fractional change of mass in the mass-losing zone exceeds xmratbak (p 224).	
225	xfracml	float	0.01	-	Subtract any &#8220;surface&#8221; mass loss specified by xmlossm (p 220) or xmloss0 (p 221) from the zone closest to the surface that still has more than xfracml (p 225) * totm0 (p 222) grams of material overlying it.	
226	mlcompf	integer	0	-	Obsolete.	
227	e1mltc12	float	1.	-	Multiplier on the E1 part of the C12(a,g) cross-section.	
228	e2mltc12	float	1.	-	Multiplier on the E2 part of the C12(a,g) cross-section.	
229	nupdate	integer	100	-	Do a forced update of BURN isotopic abundances in every zone every nupdate (p 229) cycles.	
230	dtfrac	float	0.01	-	When BURN co-processing is initiated, or when the zerotime or reset commands are given, (re)set the zonal timesteps used by the BURN coprocessor to dtfrac (p 230) * dtnew (p 1).	
231	bmassmin	float	-1.	g	BURN co-processing is skipped if a zone&#8217;s exterior mass coordinate is less than bmassmin (p 231).	
232	bmassmax	float	1.e+99	g	BURN co-processing is skipped if a zone&#8217;s exterior mass coordinate is greater than bmassmax (p 232).	
233	btempmin	float	1.e+6	K	BURN co-processing is skipped if a zone&#8217;s temperature is less than btempmin (p 233).	
234	btempmax	float	1.e+99	K	BURN co-processing is skipped if a zone&#8217;s temperature is greater than btempmax (p 234).	
235	snucmin	float	1.e-99	erg/g*s	BURN co-processing is skipped if the absolute value of a zone&#8217;s normal nuclear energy generation rate (snn) is less than snucmin (p 235).	
236	bdenmin	float	1.e-99	g/cm**3	BURN co-processing is skipped if a zone&#8217;s density is less than bdenmin (p 236).	
237	bdenmax	float	1.e+99	g/cm**3	BURN co-processing is skipped if a zone&#8217;s density is greater than bdenmax (p 237).	
238	tchange	float	0.02	-	Force a zone to be updated by the BURN coprocessor if its fractional temperature change since its last BURN processing exceeds tchange (p 238).	
239	dchange	float	0.05	-	Force a zone to be updated by the BURN coprocessor if its fractional density change since its last BURN processing exceeds dchange (p 239).	
240	netmax	integer	1	-	BURN co-processing is skipped if a zone&#8217;s network number, netnum, is greater than netmax (p 240).	
241	neditb	integer	5	-	Make a BURN isotopic abundance edit every neditb (p 241) * nedit (p 16) KEPLER cycles.	
242	edmassl	float	0.0001	-	Obsolete.	
243	nedita	integer	10	-	Make an elemental abundance edit every nedita (p 243) * nedit (p 16) cycles.	
244	jmeditb	integer	1	-	Edit only zones whose zone number is \(\le\) jmeditb (p 244) during normal BURN isotopic abundance edits.	
245	neditall	integer	100	-	Make a BURN isotopic abundance edit for all zones every neditall (p 245) * nedit (p 16) cycles regardless of the value of neditb (p 241).	
246	chimin	float	1.e-6	mol/g	Minimum isotopic abundance that affects the calculation of the zonal timestep in the BURN coprocessor.	
247	delchi	float	0.15	-	Maximum desired fractional change of an isotopic abundance used in determining the zonal timestep used in the BURN coprocessor.	
248	fdtn	float	2.	-	Maximum factor by which the zonal timestep in the BURN coprocessor can be increased in one zonal cycle.	
249	dtbkup	float	0.5	-	Back up to the previous zonal cycle in the BURN coprocessor if the new zonal timestep is less than dtbkup (p 249) times the previous timestep.	
250	ncomp	integer	999999	-	Make a complete ASCII edit of the nuclear processes in all zones considered by the BURN coprocessor every NCOMP cycles.	
251	ncent	integer	999999	-	Make an ASCII edit of the nuclear processes in the central zone considered by the BURN coprocessor every ncent (p 251) cycles.	
252	nedt	integer	999999	-	Make an ASCII edit of the nuclear processes involved every nedt (p 252) BURN coprocessor matrix inversions (debugging only).	
253	nzro	integer	1	-	Set newly calculated negative BURN isotope abundances to 0. if nzro (p 253) \(\ne\) 0.	
254	amaglim	float	0.	-	Minimum absolute magnitude of a BURN matrix element for which Gauss-Jordan elimination is carried out in solving for changes in isotopic abundances.	
255	ninv	integer	0	-	Total number of BURN-coprocessor matrix inversions so far (internally incremented).	
256	nbkup	integer	0	-	Total number of BURN-coprocessor backups so far (internally incremented).	
257	ntty	integer	6	-	FORTRAN I/O unit number for zburn messages sent to the user&#8217;s terminal.	
258	ileqs	integer	1	-	Flag to switch on sparse matrix solver.	
259	negbkup	integer	0	-	Cumulative number of BURN coprocessor backups due to encountering negative isotopic abundances (incremented internally).	
260	bkupdiv	float	10.	-	Factor by which to reduce the BURN coprocessor zonal timestep when a negative isotopic abundance backup occurs.	
261	bkupmass	float	1.e-13	mol/g	Minimum absolute magnitude ofa negative isotopic abundance (except of protons) that can cause a zonal backup in the BURN coprocessor.	
262	bkupmp	float	1.e-19	mol/g	Minimum absolute magnitude of a negative proton abundance that can cause a zonal backup in the BURN coprocessor.	
263	nbkupmax	integer	10	-	Maximum number of consecutive negative isotopic abundance backups allowed in the BURN coprocessor before quitting.	
264	nsubcycm	integer	1	-	Number of coupled BURN co-processing / BURN isotope convection subcycles per KEPLER cycle.	
265	mazful	integer	1	-	Use Fuller et. al.&#8217;s weak rates in the BURN coprocessor if mazful (p 265) \(=\) 1, otherwise use the old rates of Mazurek and Hansen.	
266	al26mult	float	100.	-	Decrease the abundance threshold for Al26 to affect the BURN coprocessor zonal timestep from chimin (p 246) to chimin (p 246)/ al26mult (p 266).	
267	inburn	integer	0	-	BURN coprocessing and related edits are done only if inburn (p 267) \(&gt;\) 0.	
268	npage	integer	53	-	Number of lines printed per &#8220;page&#8221; of ASCII output.	
269	nsavez	integer	24	-	Total number of non-BURN zonal arrays to save in restart dumps.	
270	nsaveb	integer	10	-	Total number of BURN zonal arrays to save in restart dumps.	
271	vloss	float	1.e+99	cm/s	Remove the outer zone if its velocity exceeds vloss (p 271) and its radius is larger than rlossmin (p 436), but do not change the previous values of pbound (p 69) and tbound (p 68).	
272	abunlimb	float	1.e-5	-	Edit only those BURN isotope mass-fractions whose values exceed abunlimb (p 272) in making terminal edits (including isotopic mass-fraction sums over zones).	
273	scalem	float	1.9892e+33	g	Mass unit used for the mass coordinate employed in making ASCII and terminal edits.	
274	neditz1	integer	10	-	Make an ascii edit of primary zonal quantities every neditz1 (p 274) * nedit (p 16) cycles.	
275	neditz2	integer	20	-	Make an ascii edit of secondary zonal quantities every neditz2 (p 275) * nedit (p 16) cycles.	
276	medit	integer	0	-	Flag determining the minimum amount of information printed in an ASCII cycle edit regardless of the settings of other edit parameters:.	
277	meditfin	integer	7	-	Effective value of medit (p 276) used in determining the scope of the final edit made when the problem is finished.	
278	neditp	integer	50	-	Make an ascii edit of all changeable parameters every neditp (p 278) * nedit (p 16) cycles.	
279	c12flame	float	0.	-	Carbon mass fraction ahead of flame.	
