72	idmptime	integer	1	Integer index of the next dump time (dump cycle number in subroutine DUMPQ).	
73	nylib	integer	1	Number of distinct mass coordinates used so far in describing zoning (ylib entries).	
74	nylib0	integer	1	Number of ylib entries (see nylib (q 73)) at the end of the last qq dump cycle.	
75	ndatq	integer	1	Current number of zonal edit variables to be dumped(see subroutines DUMPQ &amp; DUMP).	
76	locqnext	integer	1	Location of the next open track in the current &#8216;qq&#8217; dump file (see subroutine DUMPQ).	
77	ndatl	integer	1	Current number of specified &#8216;look&#8217; variables (see subroutine READQ and ADDLOOK).	
78	eninr	float	erg	Initial rotational energy.	
79	enr	float	erg	Current rotational energy.	
80	anglint	float	erg*s	Initial angular momentum.	
81	anglt	float	erg*s	Current angular momentum.	
82	xmlossr	float	g/s	Current mass loss rate.	
83	zfak	float	1	Computed metallicity multiplier on mass loss rate.	
84	enn	float	erg	Total neutrino energy lost from the star.	
85	enpist	float	erg	Total energy input by the piston.	
86	enpistd	float	erg/s	Energy input rate by the piston.	
87	capeff	float	cm**2/g	Opacity at effective radius.	
88	xmlost	float	g	Mass lost in the &#8220;wind&#8221;.	
89	radconv	float	cm	Radius outside of which no convection is allowed.	
90	ninvl	integer	1	Number of BURN matrix inversions in last cycle.	
91	ngbkup	integer	1	Number of negative abundance backups in subroutine SDOT for APPROX network.	
92	mncbkup	integer	1	Number mass non-conservation backups in subroutine SDOT for APPROX network.	
93	nacbkup	integer	1	Number of excess abundance change backups in subroutine SDOT for APPROX network.	
94	isebkup	integer	1	Number if ISE non-convergence backups in subroutine SDOT.	
95	enhd	float	1	Rate of change of thermal (&#8220;heat&#8221;) energy content.	
96	pboundac	float	1	Boundary pressure due to accretion.	
97	velnegm	float	1	This quantity is for fallback test only.	
98	fbrate	float	1	Fallback accretion rate.	
99	fallback	float	1	Total fallback mass.	
100	ncycr	integer	1	Cycle of problem generation or last restart.	
101	h1init	float	1	Initial central h1 mass fraction.	
102	enrd	float	erg/s	Rate of change of rotational energy during last step.	
103	ilastpl	integer	1	\"Time-of-day\" seconds of last plot.	
104	itimeg	integer	1	Time/date when problem was generated.	
105	itimed	integer	1	Time/date when dump was generated.	
106	entloss	float	1	Total energy removed from problems by cutsurf.	
107	eniloss	float	1	Internal energy removed from problems by cutsurf.	
108	enkloss	float	1	Kinetic energy removed from problems by cutsurf.	
109	enploss	float	1	Potential energy removed from problems by cutsurf.	
110	enrloss	float	1	Rotational energy removed from problems by cutsurf.	
111	angloss	float	1	Total angular momentum removed from problems by cutsurf.	
112	anglwnd	float	1	Total angular momentum lost due to wind.	
113	angit	float	1	Total momentum of inertia of the star.	
114	wimpcrsi	float	1/s	WIMP spin-emph{indepenedent} capture rate.	
115	wimpcrsd	float	1/s	WIMP spin-emph{depenedent} capture rate.	
116	wimparad	float	cm	WIMP annihilation radius scale.	
117	wimpateq	float	s	WIMP capture &amp; annihilation equilibrium time scale.	
118	wimparat	float	s	WIMP annihilation rate (two WIMPs annihilate in one annihilation &#8220;event&#8221;).	
119	wimpalum	float	erg/s	Total WIMP annihilation luminosity as computed by WIMP subroutine in.	
120	eprodw	float	erg/s	WIMP energy deposition rate in star.	
121	eprow	float	erg	Total energy deposited in star by WIMP annihilation.	
122	eprodwx	float	erg/s	WIMP annihilation luminosity emph{outside} star.	
123	eprowx	float	erg	Total energy produced by wimps OUTSIDE star by WIMP annihilation.	
124	xmacc	float	g	Total amount of mass accreted in.	
125	dmacc	float	g	Mass accreted in last time step in.	
126	jloss	integer	1	Mass losing zone.	
127	jacc	integer	1	Accretion zone.	
128	delmass	float	g	Mass lost in last time step in.	
129	xmdec	float	g	Total mass removed from bottom.	
130	decmass	float	g	Total mass removed from bottom and not added to substrate.	
131	dmdec	float	g	Mass removed in last time step.	
132	xmacrate	float	g/s	Accretion rate.	
133	he4init	float	1	Initial He4.	
134	zinit	float	1	Initial metallicity.	
135	xladv	float	erg/s	Current advection luminosity.	
136	dvloss	float	cm**3	Volume change due to mass loss.	
137	dvacc	float	cm**3	Volume change due to mass accretion.	
138	dvdev	float	cm**3	Volume change due to mass decretion (from bottom).	
139	env	float	erg	Total viscous energy dissipated.	
140	envd	float	erg/s	Viscous energy dissipation rate in last time step.	
141	envc	float	erg	Total viscous energy dissipation check.	
142	envcd	float	erg/s	Viscous energy dissipation rate check in last time step.	
143	enpuls	float	erg	Energy depositied by pulsar.	
144	enpulsd	float	erg/s	Energy deposition rate by pulsar.	
145	ennidec	float	erg	Energy depositied by \(^{56}\mathrm{Ni}\) decay.	
146	ennidecd	float	erg/s	Energy deposition rate by \(^{56}\mathrm{Ni}\) decay.	
147	enxheatd	float	erg/s	Total rate of energy deposition by extra heating.	
148	enxheat	float	erg	Total energy deposition by extra heating.
